"Variables ->","GDP","CORE_INF","S","RS","GDP_RW","RS_RW","D4L_CORE_INF_TAR","CPI_RW","RW","L_CPI_RW","L_CORE_INF","L_GDP","L_GDP_RW","L_L_CPI_RW","L_RW","L_S","L_Z","DLA_CPI_RW","DLA_CORE_INF","DLA_GDP","DLA_GDP_RW","DLA_L_CPI_RW","DLA_RW","DLA_S","DLA_Z","D4L_CPI_RW","D4L_CORE_INF","D4L_GDP","D4L_GDP_RW","D4L_L_CPI_RW","D4L_RW","D4L_S","D4L_Z","RR","RR_RW","RR_BAR","RR_GAP","L_Z_BAR","L_Z_GAP","RR_RW_BAR","RR_RW_GAP","DLA_Z_BAR","L_GDP_GAP","L_GDP_BAR","DLA_GDP_BAR","L_GDP_RW_BAR_PURE","L_GDP_RW_GAP_PURE","L_GDP_RW_BAR","L_GDP_RW_GAP"
"2016Q2",2.25854300e+05,6.00000000e-01,1.03210000e+02,2.25000000e+00,2.51508869e+06,2.50000000e-01,1.50000000e+00,1.70000000e-01,1.67348152e-01,-1.77195684e+00,-5.10825624e+01,1.23276454e+03,1.47378186e+03,5.72084496e+01+3.14159265e+02i,-1.78767889e+02,4.63676575e+02,5.12987180e+02,-2.27193615e+00,-7.84459516e+01,5.32708082e+00,9.19507965e-01,1.54583095e+02+0.00000000e+00i,-2.27506465e+02,-2.39567950e+00,7.37783359e+01,0.00000000e+00,-9.16290732e+01,1.54555222e-01,1.66529415e+00,0.00000000e+00+0.00000000e+00i,-9.70149770e-01,1.98646387e+00,9.36155371e+01,9.38790732e+01,2.50000000e-01,1.13970788e+01,8.24819944e+01,4.61174917e+02,5.18122629e+01,3.53262721e-01,-1.03262721e-01,7.65915560e+00,-1.35118631e+00,1.23645749e+03,2.69930083e+00,1.47416102e+03,-3.79161444e-01,1.47534375e+03,-1.56188797e+00
"2016Q3",2.30369430e+05,8.00000000e-01,1.03420000e+02,2.25000000e+00,2.52699181e+06,2.50000000e-01,1.50000000e+00,1.00000000e-01,1.01734952e-01,-2.30258509e+00,-2.23143551e+01,1.23474395e+03,1.47425401e+03,8.34032445e+01+3.14159265e+02i,-2.28538436e+02,4.63879837e+02,4.83891607e+02,-2.12251300e+00,1.15072829e+02,7.91765465e+00,1.88860802e+00,1.04779180e+02+0.00000000e+00i,-1.99082185e+02,8.13047756e-01,-1.16382294e+02,-6.93147181e-01,-5.80817996e+01,1.30868554e+00,1.71284174e+00,3.58147450e+01+0.00000000e+00i,-6.91880974e+01,1.01069859e+00,5.83993510e+01,6.03317996e+01,9.43147181e-01,1.16664870e+01,4.86653125e+01,4.63120333e+02,2.07712740e+01,2.53529514e-01,6.89617667e-01,7.78166143e+00,-1.52948186e+00,1.23709060e+03,2.53243183e+00,1.47455298e+03,-2.98964371e-01,1.47595399e+03,-1.69997239e+00
"2016Q4",2.33388030e+05,1.03000000e+00,1.04900000e+02,2.25000000e+00,2.54596398e+06,2.50000000e-01,1.50000000e+00,1.70000000e-01,1.73545479e-01,-1.77195684e+00,2.95588022e+00,1.23604577e+03,1.47500199e+03,5.72084496e+01+3.14159265e+02i,-1.75131558e+02,4.65300752e+02,4.60572914e+02,2.12251300e+00,1.01080941e+02,5.20727819e+00,2.99190598e+00,-1.04779180e+02+0.00000000e+00i,2.13627509e+02,5.68365937e+00,-9.32747690e+01,-1.62518929e-01,0.00000000e+00,1.71045919e+00,2.00489385e+00,9.61995010e+00+0.00000000e+00i,-1.51394625e+01,1.75991464e+00,1.59739571e+00,2.25000000e+00,4.12518929e-01,1.18975490e+01,-9.64754897e+00,4.65121120e+02,-4.54820507e+00,1.59935441e-01,2.52583489e-01,8.00314725e+00,-1.37907856e+00,1.23768262e+03,2.36808400e+00,1.47493571e+03,6.62766630e-02,1.47657091e+03,-1.56892306e+00
"2017Q1",2.31328190e+05,1.33000000e+00,1.05570000e+02,2.25000000e+00,2.56358410e+06,2.50000000e-01,1.50000000e+00,5.00000000e-01,4.91281767e-01,-6.93147181e-01,2.85178942e+01,1.23515927e+03,1.47569169e+03,-3.66512921e+01+3.14159265e+02i,-7.10737453e+01,4.65937424e+02,4.36726383e+02,4.31523865e+00,1.02248056e+02,-3.54599801e+00,2.75878642e+00,-3.75438967e+02+0.00000000e+00i,4.16231253e+02,2.54668984e+00,-9.53861275e+01,5.10825624e-01,5.99889687e+01,3.72650391e+00,2.13970210e+00,-5.52139679e+01+0.00000000e+00i,5.08175280e+01,1.66192937e+00,-5.78162137e+01,-5.77389687e+01,-2.60825624e-01,1.21291850e+01,-6.98681537e+01,4.67215005e+02,-3.04886223e+01,7.49656067e-02,-3.35791230e-01,8.37554123e+00,-7.71534202e-01,1.23823506e+03,2.20974242e+00,1.47530465e+03,3.87035713e-01,1.47718747e+03,-1.49577767e+00
"2017Q2",2.36926380e+05,1.50000000e+00,1.05010000e+02,2.25000000e+00,2.58416657e+06,2.50000000e-01,1.50000000e+00,9.70000000e-01,9.49130336e-01,-3.04592075e-02,4.05465108e+01,1.23755047e+03,1.47649136e+03,-3.49136695e+02+3.14159265e+02i,-5.22091498e+00,4.65405558e+02,4.24828588e+02,2.65075189e+00,4.81144663e+01,9.56480872e+00,3.19869100e+00,-1.24994161e+03+0.00000000e+00i,2.63411321e+02,-2.12746251e+00,-4.75911770e+01,1.74149763e+00,9.16290732e+01,4.78593589e+00,2.70949786e+00,-4.06345145e+02+0.00000000e+00i,1.73546974e+02,1.72898361e+00,-8.81585919e+01,-8.93790732e+01,-1.49149763e+00,1.23942859e+01,-1.01773359e+02,4.69436873e+02,-4.46082847e+01,1.26298107e-03,-1.49276062e+00,8.88747287e+00,2.04130239e-01,1.23875025e+03,2.06079135e+00,1.47565525e+03,8.36105820e-01,1.47779559e+03,-1.30423293e+00
"2017Q3",2.39215500e+05,1.20000000e+00,1.04540000e+02,2.25000000e+00,2.60364026e+06,1.30000000e-01,1.50000000e+00,1.30000000e+00,1.31559361e+00,2.62364264e-01,1.82321557e+01,1.23851201e+03,1.47724211e+03,-1.33802142e+02+0.00000000e+00i,2.74287977e+01,4.64956977e+02,4.46987186e+02,1.17129389e+00,-8.92574205e+01,3.84614374e+00,3.00300795e+00,8.61338213e+02-1.25663706e+03i,1.30598851e+02,-1.79432417e+00,8.86343902e+01,2.56494936e+00,4.05465108e+01,3.76805816e+00,2.98809784e+00,-2.17205386e+02-3.14159265e+02i,2.55967233e+02,1.07714063e+00,-3.69044208e+01,-3.82965108e+01,-2.43494936e+00,1.26820746e+01,-5.09785854e+01,4.71802553e+02,-2.48153673e+01,-5.87393361e-02,-2.37621002e+00,9.46272060e+00,1.16590508e+00,1.23923136e+03,1.92442554e+00,1.47598323e+03,1.25888519e+00,1.47838632e+03,-1.14420360e+00
"2017Q4",2.43779160e+05,1.20000000e+00,1.04880000e+02,2.25000000e+00,2.62440804e+06,1.00000000e-01,1.50000000e+00,1.47000000e+00,1.51072491e+00,3.85262401e-01,1.82321557e+01,1.24040180e+03,1.47803659e+03,-9.53830616e+01+0.00000000e+00i,4.12589608e+01,4.65281684e+02,4.47434791e+02,4.91592545e-01,0.00000000e+00,7.55916567e+00,3.17791850e+00,1.53676321e+02+0.00000000e+00i,5.53206525e+01,1.29882647e+00,1.79041901e+00,2.15721924e+00,1.52762755e+01,4.35603003e+00,3.03460097e+00,-1.52591511e+02-3.14159265e+02i,2.16390519e+02,-1.90675947e-02,-1.31381238e+01,-1.30262755e+01,-2.05721924e+00,1.29181660e+01,-2.59444414e+01,4.74299994e+02,-2.68652035e+01,-1.03541220e-01,-1.95367802e+00,9.98976373e+00,1.65051548e+00,1.23968225e+03,1.80356601e+00,1.47628480e+03,1.75179477e+00,1.47894984e+03,-9.13244012e-01
"2018Q1",2.39973180e+05,1.00000000e+00,1.04000000e+02,2.25000000e+00,2.62624963e+06,7.00000000e-02,1.50000000e+00,1.43000000e+00,1.41246040e+00,3.57674444e-01,0.00000000e+00,1.23882824e+03,1.47810674e+03,-1.02813208e+02+0.00000000e+00i,3.45333150e+01,4.64439090e+02,4.64796764e+02,-1.10351826e-01,-7.29286227e+01,-6.29422656e+00,2.80588100e-01,-2.97205854e+01+0.00000000e+00i,-2.69025832e+01,-3.37037613e+00,6.94478948e+01,1.05082162e+00,-2.85178942e+01,3.66897289e+00,2.41505139e+00,-6.61619159e+01-3.14159265e+02i,1.05607060e+02,-1.49833409e+00,2.80703818e+01,3.07678942e+01,-9.80821625e-01,1.29963131e+01,1.77715811e+01,4.76901635e+02,-1.21048707e+01,-1.33127678e-01,-8.47693947e-01,1.04065638e+01,1.50504336e+00,1.24010745e+03,1.70078275e+00,1.47655698e+03,1.54976006e+00,1.47947564e+03,-1.36890200e+00
"2018Q2",2.43855110e+05,1.05000000e+00,1.05290000e+02,2.25000000e+00,2.63986339e+06,4.00000000e-02,1.50000000e+00,1.43000000e+00,1.40507038e+00,3.57674444e-01,4.87901642e+00,1.24043295e+03,1.47862377e+03,-1.02813208e+02+0.00000000e+00i,3.40087394e+01,4.65671845e+02,4.61150503e+02,0.00000000e+00,1.95160657e+01,6.41882814e+00,2.06813493e+00,0.00000000e+00+0.00000000e+00i,-2.09830270e+00,4.93101949e+00,-1.45850462e+01,3.88133652e-01,-3.56674944e+01,2.88247775e+00,2.13241237e+00,2.46323487e+02-3.14159265e+02i,3.92296543e+01,2.66286415e-01,3.63219145e+01,3.79174944e+01,-3.48133652e-01,1.27940539e+01,2.51234405e+01,4.79563125e+02,-1.84126218e+01,-1.48704764e-01,-1.99428887e-01,1.06459579e+01,1.11240091e+00,1.24051200e+03,1.61822654e+00,1.47679788e+03,1.82589124e+00,1.47995265e+03,-1.32887508e+00
"2018Q3",2.46455570e+05,1.20000000e+00,1.08340000e+02,2.25000000e+00,2.64188568e+06,0.00000000e+00,1.50000000e+00,1.57000000e+00,1.56662737e+00,4.51075619e-01,1.82321557e+01,1.24149370e+03,1.47870035e+03,-7.96120283e+01+0.00000000e+00i,4.48925139e+01,4.68527443e+02,4.50746363e+02,3.73604700e-01,5.34125570e+01,4.24299855e+00,3.06306123e-01,9.28047187e+01+0.00000000e+00i,4.35350982e+01,1.14223929e+01,-4.16165594e+01,1.88711355e-01,0.00000000e+00,2.98169145e+00,1.45823691e+00,5.41901135e+01+0.00000000e+00i,1.74637162e+01,3.57046569e+00,3.75917705e+00,2.25000000e+00,-1.88711355e-01,1.22000333e+01,-9.95003329e+00,4.82232546e+02,-3.14861825e+01,-1.52008344e-01,-3.67030108e-02,1.06776837e+01,1.16643778e+00,1.24090140e+03,1.55757208e+00,1.47700658e+03,1.69376667e+00,1.48036892e+03,-1.66856841e+00
"2018Q4",2.50915480e+05,1.13000000e+00,1.09160000e+02,2.25000000e+00,2.65600188e+06,1.00000000e-02,1.50000000e+00,1.73000000e+00,1.77254042e+00,5.48121409e-01,1.22217633e+01,1.24328714e+03,1.47923325e+03,-6.01258468e+01+0.00000000e+00i,5.72413781e+01,4.69281470e+02,4.57607828e+02,3.88183157e-01,-2.40415696e+01,7.17376621e+00,2.13160181e+00,7.79447260e+01+0.00000000e+00i,4.93954569e+01,3.01610624e+00,2.74458590e+01,1.62859008e-01,-6.01039241e+00,2.88534159e+00,1.19665774e+00,3.52572148e+01+0.00000000e+00i,1.59824173e+01,3.99978564e+00,1.01730371e+01,8.26039241e+00,-1.52859008e-01,1.11185987e+01,-2.85820626e+00,4.84846473e+02,-2.72386452e+01,-1.44898924e-01,-7.96008358e-03,1.04557098e+01,2.08064181e+00,1.24128139e+03,1.51997380e+00,1.47718330e+03,2.04994857e+00,1.48071168e+03,-1.47843158e+00
"2019Q1",2.47375570e+05,9.30000000e-01,1.08370000e+02,2.25000000e+00,2.67556536e+06,0.00000000e+00,1.50000000e+00,1.80000000e+00,1.79577041e+00,5.87786665e-01,-7.25706928e+00,1.24186630e+03,1.47996713e+03,-5.31391212e+01+0.00000000e+00i,5.85434126e+01,4.68555130e+02,4.76399986e+02,1.58661026e-01,-7.79153302e+01,-5.68337650e+00,2.93550724e+00,2.79469026e+01+0.00000000e+00i,5.20813777e+00,-2.90535916e+00,7.51686321e+01,2.30112221e-01,-7.25706928e+00,3.03805410e+00,1.86038753e+00,4.96740868e+01+0.00000000e+00i,2.40100975e+01,4.11603988e+00,1.16032214e+01,9.50706928e+00,-2.30112221e-01,9.44787845e+00,5.91908329e-02,4.87321803e+02,-1.09218174e+01,-1.29259951e-01,-1.00852270e-01,9.90132063e+00,3.48826280e+00,1.24165790e+03,1.50603597e+00,1.47732931e+03,2.63781185e+00,1.48096713e+03,-1.00000000e+00
"2019Q2",2.50224240e+05,6.00000000e-01,1.08810000e+02,2.25000000e+00,2.68235359e+06,0.00000000e+00,1.50000000e+00,1.77000000e+00,1.75782010e+00,5.70979547e-01,-5.10825624e+01,1.24301128e+03,1.48022052e+03,-5.60401890e+01+0.00000000e+00i,5.64074460e+01,4.68960324e+02,5.20613866e+02,-6.72284733e-02,-1.75301972e+02,4.57990709e+00,1.01356272e+00,-1.16042714e+01+0.00000000e+00i,-8.54386643e+00,1.62077761e+00,1.76855522e+02,2.13305102e-01,-5.59615788e+01,2.57832384e+00,1.59674447e+00,4.67730190e+01+0.00000000e+00i,2.23987066e+01,3.28847941e+00,5.94633633e+01,5.82115788e+01,-2.13305102e-01,7.08421472e+00,5.11273641e+01,4.89558408e+02,3.10554581e+01,-1.06979846e-01,-1.06325256e-01,8.94641963e+00,4.31218117e+00,1.24203685e+03,1.51579781e+00,1.47744718e+03,2.77333529e+00,1.48112052e+03,-9.00000000e-01
"2019Q3",2.52410680e+05,5.70000000e-01,1.10000000e+02,2.25000000e+00,2.68852994e+06,0.00000000e+00,1.50000000e+00,1.50000000e+00,1.47422456e+00,4.05465108e-01,-5.62118918e+01,1.24388127e+03,1.48045051e+03,-9.02720456e+01+0.00000000e+00i,3.88132132e+01,4.70048037e+02,5.26665394e+02,-6.62057754e-01,-2.05173178e+01,3.47998709e+00,9.19975671e-01,-1.36927426e+02+0.00000000e+00i,-7.03769312e+01,4.35084953e+00,2.42061095e+01,-4.56105113e-02,-7.44440475e+01,2.38757097e+00,1.75016186e+00,-1.06600173e+01+0.00000000e+00i,-6.07930075e+00,1.52059356e+00,7.59190305e+01,7.66940475e+01,4.56105113e-02,3.92398657e+00,7.27700609e+01,4.91449334e+02,3.52160599e+01,-8.00100647e-02,1.25620576e-01,7.56370225e+00,3.46885438e+00,1.24242403e+03,1.54873399e+00,1.47754111e+03,2.90940089e+00,1.48175051e+03,-1.30000000e+00
"2019Q4",2.56777890e+05,3.00000000e-01,1.10100000e+02,2.25000000e+00,2.68659702e+06,0.00000000e+00,1.50000000e+00,1.23000000e+00,1.24657790e+00,2.07014169e-01,-1.20397280e+02,1.24559667e+03,1.48037859e+03,-1.57496804e+02+0.00000000e+00i,2.20402118e+01,4.70138904e+02,5.90743199e+02,-7.93803755e-01,-2.56741554e+02,6.86161057e+00,-2.87683636e-01,-2.68899032e+02+0.00000000e+00i,-6.70920054e+01,3.63471174e-01,2.56311222e+02,-3.41107239e-01,-1.32619044e+02,2.30953206e+00,1.14534050e+00,-9.73709569e+01+0.00000000e+00i,-3.52011663e+01,8.57434789e-01,1.33135371e+02,1.34869044e+02,3.41107239e-01,-1.04472326e-01,1.34973516e+02,4.92907035e+02,9.78361636e+01,-5.03685132e-02,3.91475752e-01,5.83080713e+00,7.31716280e-01,1.24282498e+03,1.60377076e+00,1.47761704e+03,2.76154990e+00,1.48197859e+03,-1.60000000e+00
"2020Q1",2.49490910e+05,6.70000000e-01,1.10740000e+02,2.00000000e+00,2.59172689e+06,0.00000000e+00,1.50000000e+00,1.17000000e+00,1.18425651e+00,1.57003749e-01,-4.00477567e+01,1.24271778e+03,1.47678350e+03,-1.85148560e+02+0.00000000e+00i,1.69115159e+01,4.70718511e+02,5.10923272e+02,-2.00041682e-01,3.21398095e+02,-1.15155953e+01,-1.43803752e+01,-1.10607024e+02+0.00000000e+00i,-2.05147837e+01,2.31842707e+00,-3.19279710e+02,-4.30782916e-01,-3.27906874e+01,8.51477355e-01,-3.18363011e+00,-1.32009438e+02+0.00000000e+00i,-4.16318967e+01,2.16338135e+00,3.45232858e+01,3.47906874e+01,4.30782916e-01,-5.02734699e+00,3.98180344e+01,4.93865979e+02,1.70572926e+01,-1.99945869e-02,4.50777503e-01,3.83577442e+00,-2.92350276e+00,1.24324481e+03,1.67931689e+00,1.47768273e+03,-8.99234837e-01,1.47878350e+03,-2.00000000e+00
"2020Q2",2.14788020e+05,8.00000000e-01,1.10100000e+02,1.50000000e+00,2.28938444e+06,0.00000000e+00,1.50000000e+00,9.00000000e-01,9.05741437e-01,-1.05360516e-01,-2.23143551e+01,1.22774069e+03,1.46437935e+03,-2.25036733e+02+3.14159265e+02i,-9.90014034e+00,4.70138904e+02,4.92347899e+02,-1.04945706e+00,7.09336061e+01,-5.99083574e+01,-4.96165714e+01,-1.59552692e+02+1.25663706e+03i,-1.07246625e+02,-2.31842707e+00,-7.43014902e+01,-6.76340062e-01,2.87682072e+01,-1.52705888e+01,-1.58411636e+01,-1.68996544e+02+3.14159265e+02i,-6.63075863e+01,1.17858018e+00,-2.82659671e+01,-2.72682072e+01,6.76340062e-01,-1.07864640e+01,-1.64817432e+01,4.94321778e+02,-1.97387861e+00,9.41699200e-03,6.66923070e-01,1.82319454e+00,-5.82389049e+00,1.24368813e+03,1.77330878e+00,1.47774767e+03,-1.33683145e+01,1.46647935e+03,-2.10000000e+00
"2020Q3",2.35557970e+05,5.30000000e-01,1.11840000e+02,1.50000000e+00,2.58283174e+06,0.00000000e+00,1.50000000e+00,7.00000000e-01,6.78175916e-01,-3.56674944e-01,-6.34878272e+01,1.23697123e+03,1.47643969e+03,-1.03093043e+02+3.14159265e+02i,-3.88348561e+01,4.71706928e+02,5.34838080e+02,-1.00525771e+00,-1.64693888e+02,3.69221808e+01,4.82413571e+01,4.87774758e+02+0.00000000e+00i,-1.15738863e+02,6.27209390e+00,1.69960725e+02,-7.62140052e-01,-7.27593543e+00,-6.91004033e+00,-4.01081828e+00,-1.28209977e+01+3.14159265e+02i,-7.76480693e+01,1.65889127e+00,8.17268665e+00,8.77593543e+00,7.62140052e-01,-1.72987637e+01,2.60746991e+01,4.94280705e+02,4.05573749e+01,3.64532370e-02,7.25686815e-01,-1.64289299e-01,-6.63964593e+00,1.24415895e+03,1.88326824e+00,1.47782077e+03,-1.38108099e+00,1.47873969e+03,-2.30000000e+00
"2020Q4",2.43591750e+05,2.30000000e-01,1.12970000e+02,1.50000000e+00,2.57244021e+06,0.00000000e+00,1.50000000e+00,4.00000000e-01,4.02383698e-01,-9.16290732e-01,-1.46967597e+02,1.24032489e+03,1.47603655e+03,-8.74215718e+00+3.14159265e+02i,-9.10349173e+01,4.72712230e+02,6.18763536e+02,-2.23846315e+00,-3.33919079e+02,1.34146512e+01,-1.61256968e+00,3.77403545e+02+0.00000000e+00i,-2.08800245e+02,4.02120730e+00,3.35701823e+02,-1.12330490e+00,-2.65703166e+01,-5.27178017e+00,-4.34203980e+00,1.48754647e+02+3.14159265e+02i,-1.13075129e+02,2.57332530e+00,2.80203370e+01,2.80703166e+01,1.12330490e+00,-2.44914874e+01,5.25618039e+01,4.93747802e+02,1.25015734e+02,6.01179887e-02,1.06318691e+00,-2.13161178e+00,-5.21391368e+00,1.24466054e+03,2.00637129e+00,1.47790262e+03,-1.86606590e+00,1.47873655e+03,-2.70000000e+00
"2021Q1",2.51866730e+05,5.00000000e-01,1.13440000e+02,1.50000000e+00,2.56932495e+06,0.00000000e+00,1.50000000e+00,2.00000000e-01,2.03991179e-01,-1.60943791e+00,-6.93147181e+01,1.24366554e+03,1.47591538e+03,4.75884995e+01+3.14159265e+02i,-1.58967852e+02,4.73127406e+02,5.40832686e+02,-2.77258872e+00,3.10611516e+02,1.33625721e+01,-4.84698975e-01,2.25322627e+02+0.00000000e+00i,-2.71731741e+02,1.66070642e+00,-3.11723398e+02,-1.76644166e+00,-2.92669614e+01,9.47761675e-01,-8.68120739e-01,2.32737059e+02+3.14159265e+02i,-1.75879368e+02,2.40889514e+00,2.99094149e+01,3.07669614e+01,1.76644166e+00,-3.22755799e+01,6.30425412e+01,4.92753457e+02,4.80792290e+01,7.98686416e-02,1.68657302e+00,-3.97737946e+00,-2.58383859e+00,1.24519542e+03,2.13952594e+00,1.47799290e+03,-2.07752453e+00,1.47891538e+03,-3.00000000e+00
"2021Q2",2.47494850e+05,9.30000000e-01,1.14550000e+02,1.50000000e+00,2.62486731e+06,0.00000000e+00,1.50000000e+00,5.00000000e-01,5.06134258e-01,-6.93147181e-01,-7.25706928e+00,1.24191451e+03,1.47805409e+03,-3.66512921e+01+3.14159265e+02i,-6.80953312e+01,4.74101141e+02,4.80665063e+02,3.66516293e+00,2.48230595e+02,-7.00412988e+00,8.55485886e+00,-3.36959166e+02+0.00000000e+00i,3.63490085e+02,3.89493845e+00,-2.40670494e+02,-5.87786665e-01,1.50572858e+01,1.41738185e+01,1.36747368e+01,1.88385441e+02+0.00000000e+00i,-5.81951909e+01,3.96223652e+00,-1.16828360e+01,-1.35572858e+01,5.87786665e-01,-4.05291347e+01,2.69718488e+01,4.91406194e+02,-1.07411312e+01,9.58270826e-02,4.91959582e-01,-5.38905302e+00,-2.09539233e-01,1.24576529e+03,2.27945663e+00,1.47809016e+03,-3.60734600e-02,1.48125409e+03,-3.20000000e+00
"2021Q3",2.53881660e+05,1.90000000e+00,1.15510000e+02,1.50000000e+00,2.68568490e+06,0.00000000e+00,1.50000000e+00,1.10000000e+00,1.05855614e+00,9.53101798e-02,6.41853886e+01,1.24446235e+03,1.48034463e+03,-2.35061866e+02+0.00000000e+00i,5.69058451e+00,4.74935711e+02,4.10845632e+02,3.15382944e+00,2.85769832e+02,1.01913917e+01,9.16217321e+00,-7.93642294e+02-1.25663706e+03i,2.95143663e+02,3.33827896e+00,-2.79277723e+02,4.51985124e-01,1.27673216e+02,7.49112127e+00,3.90494085e+00,-1.31968822e+02-3.14159265e+02i,4.45254406e+01,3.22878278e+00,-1.23992448e+02,-1.26173216e+02,-4.51985124e-01,-4.90908438e+01,-7.70823720e+01,4.89844586e+02,-7.89989534e+01,1.09169306e-01,-5.61154430e-01,-6.24643438e+00,9.84558328e-01,1.24637099e+03,2.42279295e+00,1.47819165e+03,2.15298654e+00,1.48374463e+03,-3.40000000e+00
"2021Q4",2.59741840e+05,3.33000000e+00,1.16450000e+02,1.50000000e+00,2.69238516e+06,0.00000000e+00,1.50000000e+00,2.17000000e+00,2.18350287e+00,7.74727168e-01,1.20297230e+02,1.24674435e+03,1.48059380e+03,-2.55244353e+01+0.00000000e+00i,7.80930410e+01,4.75746200e+02,3.56223696e+02,2.71766795e+00,2.24447367e+02,9.12798469e+00,9.96679239e-01,8.38149721e+02+0.00000000e+00i,2.89609826e+02,3.24195601e+00,-2.18487743e+02,1.69101790e+00,2.67264827e+02,6.41945464e+00,4.55725309e+00,-1.67822782e+01-3.14159265e+02i,1.69127958e+02,3.03396996e+00,-2.62539840e+02,-2.65764827e+02,-1.69101790e+00,-5.77825419e+01,-2.07982285e+02,4.88200492e+02,-1.31976795e+02,1.21378782e-01,-1.81239668e+00,-6.57637637e+00,1.05733192e+00,1.24701253e+03,2.56615987e+00,1.47829457e+03,2.29923602e+00,1.48419380e+03,-3.60000000e+00